"kommunenr_2024","år","kommunenr_hist_kilder","Y_4_ialt","folk_0_66","folk_67_79","folk_80p","folk_ialt","Y_1_a_ialt","Y_1_a_0_66","Y_1_a_67_79","Y_1_a_80p","Y_2_ialt","Y_3_a_ialt","Y_3_a_0_66","Y_3_a_67_79","Y_3_a_80p","Y_5_ialt"
"1114",2008,"1114",3.1,2236,163,140,2539,118,72,16,30,31,,,,,
"1114",2009,"1114",2.1,2276,168,136,2580,124,69,19,36,,23,0,,11,
"1114",2010,"1114",2.1,2278,176,129,2583,129,70,25,34,,26,0,,13,
"1114",2011,"1114",2.7,2344,183,124,2651,134,73,20,41,,26,0,5,21,
"1114",2012,"1114",2.5,2420,195,124,2739,113,55,21,37,,26,0,5,21,
"1114",2013,"1114",3,2460,201,118,2779,115,59,16,40,,24,0,5,19,
"1114",2014,"1114",2.6,2505,198,117,2820,116,66,13,37,,24,0,,11,
"1114",2015,"1114",2.375,2540,205,116,2861,127,74,19,34,0,26,0,,12,16.96
"1114",2016,"1114",2.215,2500,223,102,2825,125,76,21,28,0,26,0,,12,17.115
"1114",2017,"1114",2.6,2492,241,93,2826,109,63,,26,0,22,,,10,16.86
"1114",2018,"1114",2.8,2482,250,94,2826,128,88,,22,0,14,,,7,16.77
"1114",2019,"1114",2,2456,264,87,2807,132,91,,16,0,11,,,5,16.955
"1114",2020,"1114",2,2419,281,87,2787,138,84,,28,,9,,,,16.165
"1114",2021,"1114",4,2408,292,91,2791,117,75,,22,,15,,,6,15.77
"1114",2022,"1114",4.1,2386,310,93,2789,144,97,,22,,13,,6,,15.13
"1114",2023,"1114",4.8,2431,316,101,2848,130,94,,17,,12,,,6,18.115
"1114",2024,"1114",3,2464,325,103,2892,147,109,,19,,12,,,5,21
"1114",2025,"1114",2.7,2464,327,114,2905,137,93,,20,1,16,,,7,20
"1119",2007,"1119",,13529,984,559,15072,523,225,83,215,,,,,,
"1119",2008,"1119",6.5,13863,1008,567,15438,555,254,84,217,42,,,,,
"1119",2009,"1119",7.8,14351,1028,570,15949,560,257,88,215,43,108,16,17,75,
"1119",2010,"1119",7,14705,1068,569,16342,555,254,88,213,56,108,,20,75,
"1119",2011,"1119",8.4,15109,1131,582,16822,527,212,93,222,55,109,,21,73,
"1119",2012,"1119",8.5,15491,1171,582,17244,500,192,85,223,53,110,,20,76,
"1119",2013,"1119",7.1,15807,1235,593,17635,548,254,71,223,44,124,21,20,83,
"1119",2014,"1119",7.3,16241,1285,589,18115,574,281,77,216,44,118,19,22,77,
