"kommunenr_2024","år","timer","kilder"
"1516",2024,105983,"1516"
"1516",2025,94972,"1516"
"1517",2009,46014,"1517"
"1517",2010,54614,"1517"
"1517",2011,55967,"1517"
"1517",2012,61790,"1517"
"1517",2013,62931,"1517"
"1517",2014,69541,"1517"
"1517",2015,65964,"1517"
"1517",2016,46363,"1517"
"1517",2017,40764,"1517"
"1517",2018,34882,"1517"
"1517",2019,28013,"1517"
"1517",2020,27445,"1517"
"1517",2021,32254,"1517"
"1517",2022,30997,"1517"
"1517",2023,37525,"1517"
"1517",2024,30523,"1517"
"1517",2025,23951,"1517"
"1520",2009,41996,"1520"
"1520",2010,42213,"1520"
"1520",2011,56984,"1520"
"1520",2012,71465,"1520"
"1520",2013,60961,"1520"
"1520",2014,65712,"1520"
"1520",2015,95509,"1520"
"1520",2016,95374,"1520"
"1520",2017,96468,"1520"
"1520",2018,102618,"1520"
"1520",2019,115217,"1520"
"1520",2020,106210,"1520"
"1520",2021,104004,"1520"
"1520",2022,103858,"1520"
"1520",2023,122558,"1520"
"1520",2024,122274,"1520"
"1520",2025,134917,"1520"
"1525",2009,47816,"1525"
"1525",2010,86643,"1525"
"1525",2011,81388,"1525"
"1525",2012,83623,"1525"
"1525",2013,98071,"1525"
"1525",2014,105449,"1525"
"1525",2015,75601,"1525"
"1525",2016,47521,"1525"
"1525",2017,58931,"1525"
"1525",2018,116797,"1525"
"1525",2019,112305,"1525"
"1525",2020,105909,"1525"
"1525",2021,100327,"1525"
"1525",2022,141165,"1525"
"1525",2023,126777,"1525"
"1525",2024,119247,"1525"
"1525",2025,112562,"1525"
"1528",2009,144756,"1528"
"1528",2010,138055,"1528"
"1528",2011,155231,"1528"
"1528",2012,140532,"1528"
"1528",2013,144151,"1528"
"1528",2014,137775,"1528"
"1528",2015,140073,"1528"
"1528",2016,141050,"1528"
"1528",2017,151495,"1528"
"1528",2018,163607,"1528"
"1528",2019,167832,"1528"
"1528",2020,161518,"1528"
"1528",2021,149740,"1528"
"1528",2022,152830,"1528"
"1528",2023,145233,"1528"
"1528",2024,147733,"1528"
"1528",2025,153797,"1528"
"1531",2009,120204,"1531"
"1531",2010,126320,"1531"
"1531",2011,145160,"1531"
"1531",2012,137092,"1531"
"1531",2013,148820,"1531"
"1531",2014,145316,"1531"
"1531",2015,158064,"1531"
"1531",2016,151265,"1531"
"1531",2017,155074,"1531"
"1531",2018,170705,"1531"
"1531",2019,182337,"1531"
"1531",2020,179028,"1531"
"1531",2021,162255,"1531"
"1531",2022,192574,"1531"
"1531",2023,206674,"1531"
"1531",2024,201161,"1531"
"1531",2025,217777,"1531"
"1532",2009,79745,"1532"
"1532",2010,80943,"1532"
"1532",2011,63003,"1532"
"1532",2012,70415,"1532"
"1532",2013,76868,"1532"
"1532",2014,75287,"1532"
"1532",2015,121718,"1532"
"1532",2016,119416,"1532"
"1532",2017,110583,"1532"
"1532",2018,104034,"1532"
"1532",2019,115537,"1532"
"1532",2020,114782,"1532"
"1532",2021,124680,"1532"
"1532",2022,111272,"1532"
"1532",2023,110450,"1532"
"1532",2024,95437,"1532"
"1532",2025,87501,"1532"
"1535",2009,26528,"1535"
"1535",2010,33364,"1535"
"1535",2011,30732,"1535"
"1535",2012,40396,"1535"
"1535",2013,58657,"1535"
"1535",2014,42431,"1535"
"1535",2015,60179,"1535"
"1535",2016,79997,"1535"
"1535",2017,103780,"1535"
"1535",2018,123229,"1535"
"1535",2019,126165,"1535"
"1535",2020,124848,"1535"
"1535",2021,126999,"1535"
"1535",2022,137713,"1535"
"1535",2023,153396,"1535"
"1535",2024,178429,"1535"
"1535",2025,142330,"1535"
"1539",2009,67561,"1539"
"1539",2010,64072,"1539"
"1539",2011,64078,"1539"
"1539",2012,77606,"1539"
"1539",2013,72266,"1539"
"1539",2014,73902,"1539"
"1539",2015,70048,"1539"
"1539",2016,71704,"1539"
"1539",2017,67227,"1539"
"1539",2018,71932,"1539"
"1539",2019,63001,"1539"
"1539",2020,76091,"1539"
"1539",2021,65710,"1539"
"1539",2022,60810,"1539"
"1539",2023,49431,"1539"
"1539",2024,29913,"1539"
"1539",2025,25220,"1539"
"1547",2009,18185,"1547"
"1547",2010,21283,"1547"
"1547",2011,28885,"1547"
"1547",2012,23439,"1547"
"1547",2013,17432,"1547"
"1547",2014,21834,"1547"
"1547",2015,21276,"1547"
"1547",2016,22386,"1547"
"1547",2017,22708,"1547"
"1547",2018,23106,"1547"
"1547",2019,27861,"1547"
"1547",2020,29007,"1547"
"1547",2021,26784,"1547"
"1547",2022,26021,"1547"
"1547",2023,28922,"1547"
"1547",2024,39346,"1547"
"1547",2025,44998,"1547"
"1554",2009,18352,"1554"
"1554",2010,23847,"1554"
"1554",2011,21971,"1554"
"1554",2012,22445,"1554"
"1554",2013,26493,"1554"
"1554",2014,26634,"1554"
"1554",2015,24086,"1554"
"1554",2016,27407,"1554"
"1554",2017,24919,"1554"
"1554",2018,23775,"1554"
"1554",2019,23585,"1554"
"1554",2020,25868,"1554"
"1554",2021,29080,"1554"
"1554",2022,28438,"1554"
"1554",2023,25691,"1554"
"1554",2024,23583,"1554"
"1554",2025,19672,"1554"
"1557",2009,4721,"1557"
"1557",2010,4422,"1557"
"1557",2011,2787,"1557"
"1557",2012,1255,"1557"
"1557",2013,1466,"1557"
"1557",2014,1191,"1557"
"1557",2015,19547,"1557"
"1557",2016,16507,"1557"
"1557",2017,19195,"1557"
"1557",2018,22303,"1557"
"1557",2019,23625,"1557"
"1557",2020,24645,"1557"
"1557",2021,25783,"1557"
"1557",2022,24296,"1557"
"1557",2023,25849,"1557"
"1557",2024,22013,"1557"
"1557",2025,23706,"1557"
"1560",2009,24944,"1560"
"1560",2010,29808,"1560"
"1560",2011,25937,"1560"
"1560",2012,24991,"1560"
"1560",2013,26369,"1560"
"1560",2014,25723,"1560"
"1560",2015,19996,"1560"
"1560",2016,25019,"1560"
"1560",2017,23685,"1560"
"1560",2018,22215,"1560"
"1560",2019,50265,"1560"
"1560",2020,49707,"1560"
"1560",2021,48920,"1560"
"1560",2022,47306,"1560"
"1560",2023,48897,"1560"
"1560",2024,51857,"1560"
"1560",2025,32847,"1560"
"1563",2009,79093,"1563"
"1563",2010,80862,"1563"
"1563",2011,82676,"1563"
"1563",2012,69175,"1563"
"1563",2013,68698,"1563"
"1563",2014,71514,"1563"
"1563",2015,69231,"1563"
"1563",2016,70721,"1563"
"1563",2017,103416,"1563"
"1563",2018,198251,"1563"
"1563",2019,106465,"1563"
"1563",2020,106802,"1563"
"1563",2021,112597,"1563"
"1563",2022,109038,"1563"
"1563",2023,103489,"1563"
"1563",2024,102811,"1563"
"1563",2025,92751,"1563"
"1566",2009,24189,"1566"
"1566",2010,24192,"1566"
"1566",2011,24119,"1566"
"1566",2012,22978,"1566"
"1566",2013,19534,"1566"
"1566",2014,19415,"1566"
"1566",2015,19316,"1566"
"1566",2016,17643,"1566"
"1566",2017,16430,"1566"
"1566",2018,18502,"1566"
"1566",2019,20996,"1566"
"1566",2020,23440,"1566"
