"kommunenr_2024","år","y2s_predikert","y2s_nedre","y2s_ovre","n_bootstrap_ok"
"1121",2043,218.438871968923,202.023186068588,267.24337615165,60
"1121",2044,227.119847461958,208.550804200984,282.740310371663,60
"1121",2045,235.42974021583,214.831464512229,297.494495119363,60
"1121",2046,244.692142625435,221.742671195033,314.327896235604,60
"1121",2047,253.95970811594,228.65540703686,331.224871203474,60
"1121",2048,264.208603437653,236.204088232227,350.346002922019,60
"1121",2049,274.795659836517,243.965638690947,370.303764982735,60
"1121",2050,285.801772758286,251.992689801607,391.285250167791,60
"1122",2026,87.2532705911418,86.8868455463747,87.7835283885561,60
"1122",2027,88.0394426130394,87.4823045544073,88.9085445367378,60
"1122",2028,89.121771055716,88.3132216889365,90.4960257990547,60
"1122",2029,90.2963677778498,89.2244653079984,92.2091703535993,60
"1122",2030,91.5887002099732,90.2341880064185,94.0938706014091,60
"1122",2031,93.3147105450247,91.5790745550815,96.6942134871584,60
"1122",2032,95.1486944879203,93.0135051521652,99.4670859746399,60
"1122",2033,97.4930057935909,94.8365797819234,103.1252359002,60
"1122",2034,99.9752846835838,96.7697125471612,107.01500954769,60
"1122",2035,102.522083001695,98.7596890041545,110.99883204988,60
"1122",2036,105.506781907654,101.080928216398,115.761580335582,60
"1122",2037,108.867025487337,103.683622867099,121.210475639883,60
"1122",2038,112.499590943344,106.446357273505,127.161888894818,60
"1122",2039,116.647343409783,109.540445010077,134.093382867127,60
"1122",2040,120.745516356898,112.608342506805,140.929074878014,60
"1122",2041,125.107247921258,115.858124843922,148.279685797844,60
"1122",2042,130.196567387215,119.598294785975,157.070075749991,60
"1122",2043,135.114989730941,123.226634440886,165.584097536008,60
"1122",2044,141.018512858416,127.504403536212,176.186048859611,60
"1122",2045,146.797823611962,131.696182223866,186.583219039961,60
"1122",2046,153.144404888493,136.251677750002,198.236196641778,60
"1122",2047,159.451000135021,140.774552908429,209.866589678779,60
"1122",2048,166.082404667553,145.498099517107,222.268196023666,60
"1122",2049,173.901462301357,150.971258351711,237.354585130671,60
"1122",2050,181.156725258515,156.055861232361,251.322913639806,60
"1124",2026,187.266242889276,186.834067477071,189.848035422656,60
"1124",2027,189.175698861548,188.443967018745,193.085783609659,60
"1124",2028,191.394421491593,190.345884811887,196.795485760178,60
"1124",2029,193.999882038726,192.633852859773,201.115958546431,60
"1124",2030,196.992682816531,195.271139694543,206.057987029023,60
"1124",2031,200.400937732466,198.235492567903,211.679103734501,60
"1124",2032,204.36997362747,201.650738712397,218.110702192552,60
"1124",2033,208.533112146103,205.238043087627,224.684942239816,60
"1124",2034,213.504046751749,209.488398158571,232.551901429274,60
"1124",2035,218.860144291139,214.059248540853,241.160781278431,60
"1124",2036,224.485737591326,218.857100874161,250.194328410907,60
"1124",2037,231.041152986555,224.40348536687,260.812283287339,60
"1124",2038,237.649952837679,230.002046403787,271.560667704666,60
"1124",2039,245.233527616875,236.37798914912,284.491105449952,60
"1124",2040,253.370698574255,243.194576842948,298.948737280738,60
"1124",2041,262.154676716756,250.522752171481,314.790743341695,60
"1124",2042,271.541200611091,258.180369275201,331.954339921214,60
"1124",2043,281.19390650786,265.899757687266,349.739610338403,60
"1124",2044,292.667425482795,274.898824276856,371.597084736872,60
"1124",2045,304.328843991564,284.00639237997,394.004073160194,60
"1124",2046,316.54882697304,293.478057208334,417.802621116432,60
"1124",2047,329.496185352132,303.437322743494,443.436285326964,60
"1124",2048,342.777857003966,313.60766255256,470.027642101234,60
"1124",2049,358.196517750732,325.210539123192,501.880301964775,60
"1124",2050,373.367574435724,336.616913778531,533.414830211387,60
"1127",2026,106.16890565711,105.747152909424,106.803740627045,60
"1127",2027,107.373829424814,106.708980719897,108.452413454133,60
"1127",2028,108.878735373728,107.898725293647,110.571829435085,60
"1127",2029,110.506390200178,109.187418681808,112.884168635244,60
"1127",2030,112.446327139333,110.707458412747,115.734271534576,60
"1127",2031,114.606565966578,112.393940913851,118.97421026378,60
"1127",2032,117.0088510988,114.260037362318,122.638344593328,60
"1127",2033,119.895454233631,116.47127744625,127.183864998641,60
"1127",2034,122.844031560753,118.735325937971,131.801161031558,60
"1127",2035,126.413201771098,121.434171455833,137.578941977051,60
"1127",2036,129.383754082362,123.736175318838,142.187046904813,60
"1127",2037,133.484008176247,126.816422292511,148.955918602476,60
"1127",2038,138.15453209779,130.290251999003,156.841922238015,60
"1127",2039,142.8609816388,133.79235510067,164.814508261957,60
"1127",2040,148.095667253499,137.655608119855,173.851080915243,60
"1127",2041,153.418104513498,141.578449739714,183.092438874125,60
"1127",2042,159.196326037144,145.808057052986,193.286052411255,60
"1127",2043,165.606679461153,150.449744850171,204.851700758402,60
"1127",2044,172.343072177933,155.300415249029,217.168351422337,60
"1127",2045,180.184383912322,160.862532898363,231.94290428576,60
"1127",2046,188.018044587348,166.405100271071,246.823541926608,60
"1127",2047,195.652927512375,171.80649810095,261.371161232155,60
"1127",2048,204.249642781239,177.808878387183,278.185973046959,60
"1127",2049,213.640805769614,184.29996314337,296.949140638844,60
"1127",2050,224.125127578047,191.456235466271,318.439281626184,60
"1130",2026,141.016110756176,140.673366695775,143.02309148825,60
"1130",2027,142.627776905445,142.088350743063,145.693437762146,60
"1130",2028,144.590168971089,143.798592066425,148.961826692043,60
"1130",2029,146.952653447475,145.843927828686,152.929463986423,60
"1130",2030,149.305943028723,147.886650160834,156.865323568829,60
"1130",2031,152.141038403866,150.33006355997,161.662568519478,60
"1130",2032,155.519924956748,153.222250710779,167.45772195476,60
"1130",2033,159.418261867583,156.542251660039,174.317036246145,60
"1130",2034,163.390684127122,159.924445979456,181.378465348898,60
"1130",2035,167.179082061547,163.16246162669,187.918017241351,60
"1130",2036,172.176771694728,167.385563610884,196.751147948225,60
"1130",2037,177.465034702195,171.826073142855,206.173468110611,60
"1130",2038,183.34458672076,176.558584284829,216.786111362522,60
"1130",2039,188.767728765008,180.963070429878,226.508962957147,60
"1130",2040,194.265273783916,185.423526407846,236.387804558032,60
"1130",2041,200.340684515892,190.283605245443,247.462962087208,60
"1130",2042,207.743499532501,196.059772567563,261.289770156893,60
"1130",2043,215.495032712098,202.075986313124,276.066035576703,60
"1130",2044,223.707053071727,208.404886111397,292.027117692553,60
"1130",2045,230.580052560291,213.807607976575,305.078041982604,60
"1130",2046,238.820965622642,220.153719572714,321.189972794241,60
"1130",2047,247.584349567097,226.848005292784,338.556420235153,60
"1130",2048,257.308527982704,234.192663148728,358.17941943096,60
"1130",2049,267.729871301159,241.98934257791,379.558448964504,60
"1130",2050,276.335189553207,248.544300772668,396.825522818916,60
"1133",2026,21.8277250783045,21.5245646796276,22.7256537935112,60
"1133",2027,22.3736924348821,21.8971707463921,23.7428753579528,60
"1133",2028,22.7788354991032,22.1662660225102,24.5360689178236,60
"1133",2029,23.3724405443837,22.5746461874565,25.6295085763045,60
"1133",2030,24.070524316263,23.0596467152302,26.8915813270147,60
"1133",2031,24.8737655256595,23.6210983292391,28.362186309421,60
"1133",2032,25.7724478437522,24.2513542705286,30.0325595447609,60
"1133",2033,26.7656619402043,24.9492680610619,31.8821735772859,60
"1133",2034,27.9806608522217,25.7904638745309,34.2083657979541,60
"1133",2035,29.0721898136145,26.5094979310839,36.3188996175296,60
"1133",2036,30.4229974318196,27.3794814645365,38.9788056700488,60
"1133",2037,31.7433719121347,28.2289956727727,41.5866049561133,60
"1133",2038,33.0980118942787,29.0942507614182,44.2749361203855,60
"1133",2039,34.6970264481188,30.0949015038838,47.5342589747894,60
"1133",2040,36.2987319888574,31.0981591114481,50.8628294748244,60
"1133",2041,37.7518649732503,32.0120159646603,53.8956707348439,60
"1133",2042,39.2323275165844,32.9440677935737,57.0543145912296,60
"1133",2043,40.7362447085517,33.8860286163435,60.2916735813237,60
"1133",2044,42.2173861424099,34.8119005563046,63.4906638682967,60
"1133",2045,43.9169131150511,35.8612820408357,67.2489507916208,60
"1133",2046,45.2281664549567,36.6900453795705,70.0306059049091,60
"1133",2047,46.9425544885319,37.7431571855545,73.8588929092038,60
"1133",2048,48.5662558128353,38.7376369524612,77.4932497483367,60
"1133",2049,50.533746809867,39.9218900067691,82.0416074913492,60
"1133",2050,52.0603831302128,40.862100503657,85.435432590595,60
