"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y5p_predikert","y5p_predikert_modell"
"1121",2034,21219,505.934665,0.023843473537867,117.560231467976,116.900578669939
"1121",2035,21383,527.850269,0.0246855104054623,118.073446480393,118.167877669469
"1121",2036,21547,549.905183,0.0255211947370864,118.683577503337,119.439110533342
"1121",2037,21709,570.649616,0.026286315168824,119.370794363068,120.674720708425
"1121",2038,21868,590.003699,0.0269802313426011,120.127302323126,121.867822405684
"1121",2039,22023,613.654144,0.0278642393860964,121.013605380645,123.129541073438
"1121",2040,22174,637.604823,0.0287546145485704,121.986639784527,124.378623655244
"1121",2041,22319,657.469932,0.029457857968547,122.978522844955,125.514751464082
"1121",2042,22459,679.981545,0.0302765726434837,124.076890645115,126.681272350165
"1121",2043,22591,700.400264,0.0310035086538887,125.202028081749,127.765461805762
"1121",2044,22717,724.066446,0.0318733303693269,126.438140938009,128.88792379098
"1121",2045,22836,743.317797,0.0325502626116658,127.656265753543,129.884634773592
"1121",2046,22948,765.114505,0.0333412282116089,128.965198044626,130.900232993677
"1121",2047,23054,784.783294,0.0340410902229548,130.285055778319,131.842316369937
"1121",2048,23152,806.743938,0.0348455398237733,131.683848948346,132.793350214428
"1121",2049,23244,828.028589,0.0356233259765961,133.112479707188,133.701277617858
"1121",2050,23331,848.997821,0.0363892598259826,134.578620606499,134.578620606499
"1122",2026,12545,178.540406,0.0142319972897569,68.8008869794135,58.0088697941348
"1122",2027,12648,188.623811,0.0149133310404807,68.4367956658833,58.6312412064239
"1122",2028,12748,202.656319,0.0158971069187323,68.1289109794972,59.3080627399842
"1122",2029,12846,213.028565,0.0165832605480305,67.8567966417931,59.9143371378499
"1122",2030,12940,222.060879,0.0171608098145286,67.6201317518663,60.4805270074651
"1122",2031,13032,236.167141,0.0181220949201964,67.4485255464776,61.1253062486179
"1122",2032,13122,248.07584,0.0189053376009755,67.310369348907,61.7242133812523
"1122",2033,13211,264.208081,0.0199990977972901,67.2421870161592,62.392240044577
"1122",2034,13299,278.416107,0.0209351159485676,67.2093918213789,63.0234795534473
"1122",2035,13387,290.36803,0.0216902987973407,67.2070786748327,63.6161798281891
"1122",2036,13475,304.46952,0.0225951406307978,67.2672667121569,64.2468772887514
"1122",2037,13561,319.56838,0.0235652518250866,67.3795869184636,64.8869988652949
"1122",2038,13646,334.468985,0.0245104048805511,67.5360400111093,65.5200727474714
"1122",2039,13729,351.074161,0.0255717212469954,67.7529665002618,66.1752621281052
"1122",2040,13811,364.889297,0.0264201938310043,67.9860355549344,66.777656887895
"1122",2041,13890,378.592177,0.0272564562275018,68.254708266746,67.3655973837675
"1122",2042,13967,395.006175,0.0282813900622897,68.5956208894596,67.9937441277995
"1122",2043,14041,408.431056,0.0290884592265508,68.9352638173068,68.5562899217719
"1122",2044,14111,425.586905,0.0301599394089717,69.3559116216198,69.1689182214449
"1122",2045,14177,440.209643,0.0310509729138746,69.7721244803233,69.7195378219363
"1122",2046,14238,455.961928,0.0320242961090041,70.2290908463822,70.2695186428027
"1122",2047,14295,469.942219,0.0328745868485484,70.6841170883299,70.7708361558646
